ad_id,source,ad_text,impressions,clicks,ctr,emotional_appeal,scarcity,social_proof,relevance
SYN00122,synthetic,"Your best results, made easy and fast.",15341,671,0.04374,0.412,0.296,0.43,0.502
SYN00123,synthetic,Don't miss out -- this offer ends tonight.,74435,485,0.00652,0.501,0.186,0.188,0.137
SYN00124,synthetic,An incredible experience designed for you.,62515,1296,0.02073,0.172,0.389,0.157,0.435
SYN00125,synthetic,"Your best results, made easy and fast.",55119,3108,0.05639,0.611,0.259,0.608,0.547
SYN00126,synthetic,"Proven results, guaranteed satisfaction.",21721,998,0.04595,0.665,0.017,0.75,0.445
SYN00127,synthetic,Save 30% when you order before midnight.,65988,851,0.0129,0.033,0.545,0.476,0.202
SYN00128,synthetic,An incredible experience designed for you.,67897,1705,0.02511,0.092,0.53,0.828,0.339
SYN00129,synthetic,"The award-winning choice, rated five stars.",25531,306,0.01199,0.553,0.498,0.612,0.24
SYN00130,synthetic,Don't miss out -- this offer ends tonight.,48210,1251,0.02595,0.301,0.229,0.184,0.421
SYN00131,synthetic,Discover something you'll genuinely love.,7669,85,0.01108,0.378,0.375,0.422,0.267
SYN00132,synthetic,"Proven results, guaranteed satisfaction.",33345,922,0.02765,0.113,0.141,0.299,0.16
SYN00133,synthetic,Save 30% when you order before midnight.,14601,690,0.04726,0.42,0.301,0.476,0.425
SYN00134,synthetic,"Your best results, made easy and fast.",45841,1439,0.03139,0.488,0.31,0.401,0.77
SYN00135,synthetic,Limited release -- only a few left this week.,45260,1622,0.03584,0.578,0.568,0.574,0.168
SYN00136,synthetic,Don't miss out -- this offer ends tonight.,44026,1506,0.03421,0.749,0.04,0.566,0.634
SYN00137,synthetic,Upgrade your everyday routine today.,55140,1459,0.02646,0.088,0.639,0.246,0.459
SYN00138,synthetic,"The award-winning choice, rated five stars.",74204,1607,0.02166,0.311,0.435,0.394,0.736
SYN00139,synthetic,Upgrade your everyday routine today.,18148,589,0.03246,0.452,0.359,0.46,0.161
SYN00140,synthetic,Save 30% when you order before midnight.,19505,335,0.01718,0.451,0.563,0.458,0.384
SYN00141,synthetic,Discover something you'll genuinely love.,19587,382,0.0195,0.44,0.536,0.618,0.625
SYN00142,synthetic,Save 30% when you order before midnight.,74468,1842,0.02474,0.299,0.283,0.182,0.595
SYN00143,synthetic,"The award-winning choice, rated five stars.",10134,246,0.02427,0.282,0.579,0.218,0.509
SYN00144,synthetic,Limited release -- only a few left this week.,5413,125,0.02309,0.286,0.408,0.221,0.337
SYN00145,synthetic,Trusted by millions. Try it free.,15354,396,0.02579,0.116,0.398,0.616,0.767
SYN00146,synthetic,An incredible experience designed for you.,62228,4330,0.06958,0.259,0.815,0.585,0.475
SYN00147,synthetic,Discover something you'll genuinely love.,47631,1725,0.03622,0.381,0.761,0.235,0.609
SYN00148,synthetic,Upgrade your everyday routine today.,73814,3727,0.05049,0.703,0.761,0.381,0.679
SYN00149,synthetic,Upgrade your everyday routine today.,18730,492,0.02627,0.638,0.192,0.11,0.474
SYN00150,synthetic,Trusted by millions. Try it free.,33342,1822,0.05465,0.723,0.569,0.134,0.638
SYN00151,synthetic,Exclusive deal: get yours now.,45764,1311,0.02865,0.208,0.497,0.214,0.415
SYN00152,synthetic,"Proven results, guaranteed satisfaction.",8626,357,0.04139,0.357,0.366,0.605,0.627
SYN00153,synthetic,"The award-winning choice, rated five stars.",73727,2568,0.03483,0.69,0.243,0.52,0.095
SYN00154,synthetic,Discover something you'll genuinely love.,64959,1262,0.01943,0.792,0.127,0.23,0.794
SYN00155,synthetic,Limited release -- only a few left this week.,14069,162,0.01151,0.408,0.433,0.265,0.158
SYN00156,synthetic,Upgrade your everyday routine today.,67900,1525,0.02246,0.171,0.486,0.166,0.373
SYN00157,synthetic,An incredible experience designed for you.,37556,1118,0.02977,0.331,0.389,0.232,0.837
SYN00158,synthetic,Discover something you'll genuinely love.,28891,835,0.0289,0.367,0.345,0.285,0.247
SYN00159,synthetic,Discover something you'll genuinely love.,75853,2678,0.03531,0.477,0.298,0.444,0.722
SYN00160,synthetic,"The award-winning choice, rated five stars.",42931,1565,0.03645,0.697,0.222,0.356,0.325
SYN00161,synthetic,Save 30% when you order before midnight.,20493,233,0.01137,0.354,0.23,0.059,0.247
SYN00162,synthetic,Exclusive deal: get yours now.,65329,1985,0.03038,0.739,0.301,0.175,0.436
SYN00163,synthetic,An incredible experience designed for you.,58111,1314,0.02261,0.735,0.415,0.583,0.434
SYN00164,synthetic,Trusted by millions. Try it free.,17787,715,0.0402,0.705,0.603,0.414,0.398
SYN00165,synthetic,"The award-winning choice, rated five stars.",55157,542,0.00983,0.213,0.32,0.317,0.286
SYN00166,synthetic,Trusted by millions. Try it free.,51431,2168,0.04215,0.566,0.52,0.47,0.571
SYN00167,synthetic,"The award-winning choice, rated five stars.",24202,305,0.0126,0.131,0.735,0.272,0.381
SYN00168,synthetic,"Your best results, made easy and fast.",36158,682,0.01886,0.171,0.21,0.581,0.278
SYN00169,synthetic,Limited release -- only a few left this week.,67626,3371,0.04985,0.661,0.141,0.441,0.613
SYN00170,synthetic,Trusted by millions. Try it free.,16430,526,0.03201,0.206,0.375,0.286,0.745
SYN00171,synthetic,Upgrade your everyday routine today.,58619,1049,0.0179,0.175,0.254,0.803,0.643
SYN00172,synthetic,Trusted by millions. Try it free.,67020,1627,0.02428,0.677,0.573,0.367,0.282
SYN00173,synthetic,Don't miss out -- this offer ends tonight.,75129,1479,0.01969,0.359,0.556,0.617,0.574
SYN00174,synthetic,Upgrade your everyday routine today.,28000,336,0.012,0.218,0.544,0.589,0.272
SYN00175,synthetic,"Your best results, made easy and fast.",23528,478,0.02032,0.262,0.476,0.181,0.114
SYN00176,synthetic,Join thousands of happy customers who already switched.,74950,2603,0.03473,0.678,0.539,0.269,0.163
SYN00177,synthetic,Discover something you'll genuinely love.,38633,1018,0.02635,0.07,0.148,0.723,0.214
SYN00178,synthetic,Upgrade your everyday routine today.,46807,1981,0.04232,0.73,0.402,0.3,0.442
SYN00179,synthetic,Trusted by millions. Try it free.,42502,1708,0.04019,0.704,0.405,0.428,0.675
SYN00180,synthetic,"Your best results, made easy and fast.",42617,859,0.02016,0.346,0.347,0.255,0.244
SYN00181,synthetic,"The award-winning choice, rated five stars.",51090,865,0.01693,0.219,0.11,0.502,0.599
SYN00182,synthetic,"Proven results, guaranteed satisfaction.",35594,563,0.01582,0.142,0.336,0.257,0.087
SYN00183,synthetic,Don't miss out -- this offer ends tonight.,33187,886,0.0267,0.792,0.378,0.599,0.624
SYN00184,synthetic,Don't miss out -- this offer ends tonight.,33851,569,0.01681,0.189,0.331,0.465,0.304
SYN00185,synthetic,Limited release -- only a few left this week.,53535,1214,0.02268,0.144,0.233,0.501,0.296
SYN00186,synthetic,"Your best results, made easy and fast.",65983,1880,0.02849,0.441,0.274,0.606,0.375
SYN00187,synthetic,Trusted by millions. Try it free.,45745,4992,0.10913,0.783,0.2,0.429,0.457
SYN00188,synthetic,Exclusive deal: get yours now.,55167,1109,0.0201,0.715,0.453,0.32,0.44
SYN00189,synthetic,Don't miss out -- this offer ends tonight.,34804,681,0.01957,0.209,0.46,0.14,0.213
SYN00190,synthetic,Join thousands of happy customers who already switched.,62574,1099,0.01756,0.314,0.499,0.592,0.428
SYN00191,synthetic,Trusted by millions. Try it free.,33321,587,0.01762,0.09,0.083,0.622,0.231
SYN00192,synthetic,Upgrade your everyday routine today.,35423,808,0.02281,0.161,0.712,0.784,0.119
SYN00193,synthetic,Save 30% when you order before midnight.,7254,345,0.04756,0.487,0.715,0.514,0.412
SYN00194,synthetic,Exclusive deal: get yours now.,23130,501,0.02166,0.433,0.472,0.192,0.409
SYN00195,synthetic,An incredible experience designed for you.,59859,1250,0.02088,0.07,0.411,0.705,0.129
SYN00196,synthetic,"Proven results, guaranteed satisfaction.",9688,194,0.02002,0.429,0.595,0.305,0.287
SYN00197,synthetic,"The award-winning choice, rated five stars.",20246,183,0.00904,0.182,0.19,0.28,0.096
SYN00198,synthetic,Trusted by millions. Try it free.,62802,1583,0.02521,0.19,0.623,0.496,0.695
SYN00199,synthetic,Trusted by millions. Try it free.,70233,1369,0.01949,0.38,0.531,0.242,0.171
SYN00200,synthetic,Join thousands of happy customers who already switched.,34976,958,0.02739,0.277,0.546,0.51,0.368
SYN00201,synthetic,Exclusive deal: get yours now.,34331,1316,0.03833,0.78,0.312,0.314,0.366
SYN00202,synthetic,Exclusive deal: get yours now.,42210,1585,0.03755,0.412,0.542,0.65,0.71
SYN00203,synthetic,Limited release -- only a few left this week.,62301,1068,0.01714,0.196,0.117,0.535,0.065
SYN00204,synthetic,An incredible experience designed for you.,39139,771,0.0197,0.616,0.6,0.155,0.781
SYN00205,synthetic,Discover something you'll genuinely love.,16354,606,0.03706,0.354,0.064,0.578,0.615
SYN00206,synthetic,Trusted by millions. Try it free.,36197,828,0.02287,0.533,0.455,0.328,0.431
SYN00207,synthetic,"Your best results, made easy and fast.",22607,1123,0.04967,0.277,0.703,0.829,0.466
SYN00208,synthetic,Join thousands of happy customers who already switched.,55660,2520,0.04527,0.486,0.203,0.323,0.409
SYN00209,synthetic,Limited release -- only a few left this week.,13988,297,0.02123,0.079,0.679,0.516,0.163
SYN00210,synthetic,"Your best results, made easy and fast.",49872,1043,0.02091,0.529,0.425,0.354,0.437
SYN00211,synthetic,"Proven results, guaranteed satisfaction.",12999,354,0.02723,0.269,0.499,0.315,0.51
SYN00212,synthetic,An incredible experience designed for you.,77848,2647,0.034,0.156,0.691,0.349,0.566
SYN00213,synthetic,Save 30% when you order before midnight.,52284,1715,0.0328,0.453,0.09,0.644,0.758
SYN00214,synthetic,"Proven results, guaranteed satisfaction.",13695,227,0.01658,0.133,0.461,0.335,0.177
SYN00215,synthetic,"The award-winning choice, rated five stars.",76835,2452,0.03191,0.301,0.274,0.224,0.557
SYN00216,synthetic,"Your best results, made easy and fast.",47160,2027,0.04298,0.499,0.503,0.548,0.506
SYN00217,synthetic,Save 30% when you order before midnight.,49710,878,0.01766,0.611,0.071,0.279,0.137
SYN00218,synthetic,"Your best results, made easy and fast.",7869,112,0.01423,0.486,0.346,0.621,0.211
SYN00219,synthetic,"Your best results, made easy and fast.",17457,437,0.02503,0.203,0.409,0.512,0.057
SYN00220,synthetic,Trusted by millions. Try it free.,65209,1079,0.01655,0.337,0.173,0.475,0.167
SYN00221,synthetic,Discover something you'll genuinely love.,39005,944,0.0242,0.078,0.395,0.546,0.29
SYN00222,synthetic,"Your best results, made easy and fast.",50455,1406,0.02787,0.335,0.352,0.701,0.128
SYN00223,synthetic,Don't miss out -- this offer ends tonight.,79010,1298,0.01643,0.326,0.476,0.463,0.669
SYN00224,synthetic,Discover something you'll genuinely love.,35985,941,0.02615,0.716,0.578,0.308,0.064
SYN00225,synthetic,"Your best results, made easy and fast.",32329,1175,0.03635,0.353,0.478,0.655,0.284
SYN00226,synthetic,Limited release -- only a few left this week.,64772,2018,0.03116,0.21,0.64,0.532,0.155
SYN00227,synthetic,"Proven results, guaranteed satisfaction.",8083,246,0.03043,0.477,0.568,0.478,0.311
SYN00228,synthetic,Limited release -- only a few left this week.,38035,414,0.01088,0.299,0.478,0.125,0.427
SYN00229,synthetic,"Proven results, guaranteed satisfaction.",68819,3645,0.05297,0.521,0.436,0.537,0.398
SYN00230,synthetic,An incredible experience designed for you.,20539,692,0.03369,0.35,0.44,0.366,0.524
SYN00231,synthetic,Exclusive deal: get yours now.,26408,431,0.01632,0.435,0.273,0.055,0.727
SYN00232,synthetic,Upgrade your everyday routine today.,39382,441,0.0112,0.31,0.073,0.025,0.072
SYN00233,synthetic,Join thousands of happy customers who already switched.,8720,256,0.02936,0.379,0.557,0.268,0.464
SYN00234,synthetic,Upgrade your everyday routine today.,8454,321,0.03797,0.341,0.571,0.06,0.709
SYN00235,synthetic,Discover something you'll genuinely love.,22360,527,0.02357,0.534,0.593,0.413,0.211
SYN00236,synthetic,"Proven results, guaranteed satisfaction.",72135,1694,0.02348,0.114,0.009,0.132,0.266
SYN00237,synthetic,An incredible experience designed for you.,20080,220,0.01096,0.355,0.206,0.31,0.283
SYN00238,synthetic,Trusted by millions. Try it free.,59283,1053,0.01776,0.389,0.356,0.339,0.368
SYN00239,synthetic,"Proven results, guaranteed satisfaction.",35807,379,0.01058,0.753,0.348,0.193,0.184
SYN00240,synthetic,Upgrade your everyday routine today.,61544,1414,0.02298,0.587,0.599,0.321,0.415
SYN00241,synthetic,An incredible experience designed for you.,28425,1174,0.0413,0.295,0.302,0.308,0.338
SYN00242,synthetic,Save 30% when you order before midnight.,70335,6130,0.08715,0.78,0.188,0.593,0.59
SYN00243,synthetic,Trusted by millions. Try it free.,31554,1301,0.04123,0.417,0.682,0.725,0.38
SYN00244,synthetic,An incredible experience designed for you.,63951,2420,0.03784,0.587,0.658,0.641,0.763
SYN00245,synthetic,Trusted by millions. Try it free.,67018,1476,0.02202,0.595,0.287,0.178,0.218
SYN00246,synthetic,Discover something you'll genuinely love.,36252,2223,0.06132,0.787,0.637,0.599,0.705
SYN00247,synthetic,Don't miss out -- this offer ends tonight.,54353,821,0.0151,0.433,0.573,0.641,0.125
SYN00248,synthetic,Discover something you'll genuinely love.,12135,240,0.01978,0.694,0.086,0.076,0.263
SYN00249,synthetic,Don't miss out -- this offer ends tonight.,41224,1769,0.04291,0.231,0.258,0.302,0.457
SYN00250,synthetic,Discover something you'll genuinely love.,31749,682,0.02148,0.677,0.446,0.556,0.213
SYN00251,synthetic,"The award-winning choice, rated five stars.",76489,1802,0.02356,0.498,0.598,0.277,0.455
SYN00252,synthetic,Join thousands of happy customers who already switched.,74924,2223,0.02967,0.438,0.386,0.597,0.257
SYN00253,synthetic,"The award-winning choice, rated five stars.",63318,1513,0.0239,0.299,0.259,0.478,0.143
SYN00254,synthetic,Trusted by millions. Try it free.,76079,1955,0.0257,0.718,0.238,0.524,0.38
SYN00255,synthetic,"Proven results, guaranteed satisfaction.",78145,2376,0.03041,0.459,0.54,0.751,0.117
SYN00256,synthetic,Limited release -- only a few left this week.,62126,2349,0.03781,0.446,0.301,0.61,0.332
SYN00257,synthetic,Join thousands of happy customers who already switched.,48724,2565,0.05264,0.387,0.675,0.167,0.276
SYN00258,synthetic,"Your best results, made easy and fast.",18741,506,0.027,0.05,0.635,0.244,0.694
SYN00259,synthetic,Trusted by millions. Try it free.,65785,2231,0.03391,0.658,0.562,0.471,0.371
SYN00260,synthetic,Join thousands of happy customers who already switched.,17972,923,0.05136,0.188,0.491,0.222,0.654
SYN00261,synthetic,Save 30% when you order before midnight.,17260,418,0.02422,0.679,0.463,0.466,0.189
SYN00262,synthetic,Upgrade your everyday routine today.,70742,1829,0.02585,0.631,0.633,0.463,0.727
SYN00263,synthetic,Upgrade your everyday routine today.,11811,333,0.02819,0.434,0.3,0.161,0.45
SYN00264,synthetic,Limited release -- only a few left this week.,13927,522,0.03748,0.155,0.833,0.412,0.234
SYN00265,synthetic,Trusted by millions. Try it free.,42345,1075,0.02539,0.133,0.77,0.249,0.28
SYN00266,synthetic,"Proven results, guaranteed satisfaction.",47978,1116,0.02326,0.429,0.029,0.31,0.412
